file_path,description
Reports/LearningReportsSummary.txt,pending
Reports/log.txt,pending
Reports/LOResarchPrompt.txt,pending
Reports/Master Prompting Playbook for Kimi K2 Power Users.pdf,pending
Reports/new 1.txt,pending
Reports/pastebin.txt,pending
Reports/Prompt1AssitantArchetectureReview,pending
Reports/R-K2-Self-Hardening.html,pending
Reports/R-Personal-Hybrid-LLM Web UI Framework,pending
Reports/Report.txt,pending
Reports/Research Report_ Conceptual Design of a Stateless Advisor Agent for Multi-Agent Systems.pdf,pending
Reports/system_state_map_FULL.json,pending
Reports/.txtReports/ComprehensiveLOReport.txt,pending
Reports/.txtReports/Designing an Advisor Agent for a Multi-Agent System (Phase 1 Exploration).txt,pending
Reports/.txtReports/Industrial-Scale Prompt Engineering.txt,pending
Reports/.txtReports/Kimi K2 Operational Modes_ A Design Guide for Multi-Candidate Generation and Synthesis.txt,pending
Reports/.txtReports/Kimi K2 Optimization Manual_ Distillation, Meta-Prompting, and Long-Context Engineering.txt,pending
Reports/.txtReports/Master Prompting Playbook for Kimi K2 Power Users.txt,pending
Reports/.txtReports/Research Report_ Conceptual Design of a Stateless Advisor Agent for Multi-Agent Systems.txt,pending
Reports/.txtReports/WebUIAgentsReport.txt,pending
Scripts/chat_processor.py,Core transcript pipeline for Kimi chat JSON extraction and markdown export
Scripts/chat_processord.py,Duplicate/development version of chat_processor.py with minor variations
Scripts/CoreCompile.py,Master orchestrator for Corelink queue-based file processing pipeline
Scripts/Corelink_schema.json,JSON schema defining agent context and pipeline configuration structure
Scripts/Corelink.py,Core agent linking system for conversational state management and task routing
Scripts/Corelink.pyw,Windowed/no-console version of Corelink.py for GUI execution
Scripts/exporter-markdown.js,JavaScript comparison table for dirmapper v6.3.1 vs v6.3 versions
Scripts/vtt_processor.py,Voice-to-text processor with WhisperX integration for audio transcription
Scripts/logs/cache_clear_log.txt,Cache clearing operation logs with file-by-file deletion records
Scripts/logs/compile.log,CoreCompile execution logs showing queue processing and task completion
Scripts/logs/corelink.log,Corelink agent execution logs with datetime stamps and operation traces
Scripts/logs/diagnostic_debug.log,Detailed diagnostic logs for agent operations and error tracking
Scripts/logs/grab_log.txt,HTML grabber tool execution logs for transcript extraction
Scripts/TaskBot/bot.py,Discord task bot with GitHub API integration for personal task management
Scripts/TaskBot/Current status report.txt,Current system state with 24 active tasks and user objectives
Scripts/TaskBot/Design spec.md,Authority Plan v1.6 for multi-list Discord task bot with Google Calendar sync
Scripts/TaskBot/Dockerfile,Docker configuration for Python 3.11-slim TaskBot deployment
Scripts/TaskBot/fly.toml,Fly.io deployment config with 256MB RAM and environment variables
Scripts/TaskBot/requirements.txt,Python dependencies: discord.py and requests
Scripts/TaskBot/tasks.json,Live task data JSON with 24 tasks (8 high, 13 normal, 3 completed)
Workflows/AdvisorAgents.md,pending
Workflows/design_strategist_entry.md,pending
Workflows/DesignRationalExecutionWF.txt,pending
Workflows/ExecutionWorkflow.md,pending
Workflows/ExecutionWorkflowneedsjsonfilled.md,pending
Workflows/Workflows - Shortcut.lnk,pending
Workflows/MetaAnalystlearningpack/combined_artifacts.json,pending
